region,gu,legal_code,latitude,longitude
개포동,강남구,1168010300,37.4819251305593,127.057440206035
논현동,강남구,1168010800,37.512645150688,127.030154778539
대치동,강남구,1168010600,37.4932421505465,127.056693501258
도곡동,강남구,1168011800,37.4909537197216,127.038482017226
삼성동,강남구,1168010500,37.5143225723289,127.062831022499
세곡동,강남구,1168011100,37.4644437055761,127.106760267266
수서동,강남구,1168011500,37.4868187699686,127.105426218127
신사동,강남구,1168010700,37.5239850298541,127.02277448907
압구정동,강남구,1168011000,37.5306686414268,127.030809170421
역삼동,강남구,1168010100,37.4953666908087,127.03306536185
율현동,강남구,1168011300,37.470976512434,127.115817745643
일원동,강남구,1168011400,37.4795654903149,127.080430036811
자곡동,강남구,1168011200,37.4733903987968,127.092180565565
청담동,강남구,1168010400,37.5250293348772,127.049233039691
강일동,강동구,1174011000,37.5650420192003,127.173906305383
고덕동,강동구,1174010200,37.5641661222504,127.155939319817
길동,강동구,1174010500,37.5344859624469,127.142712345548
둔촌동,강동구,1174010600,37.5271882887608,127.142354524933
명일동,강동구,1174010100,37.5494403330956,127.150304746486
상일동,강동구,1174010300,37.551486421914,127.169646875801
성내동,강동구,1174010800,37.5292748071425,127.130026914568
암사동,강동구,1174010700,37.5591140475274,127.13168588897
천호동,강동구,1174010900,37.5422218634248,127.12866892591
미아동,강북구,1130510100,37.6270831294021,127.027060776679
번동,강북구,1130510200,37.6241057350223,127.04133717608
수유동,강북구,1130510300,37.6424621841481,127.022094520762
우이동,강북구,1130510400,37.6630390800112,127.001890452891
가양동,강서구,1150010400,37.5693673262877,126.84732341674
개화동,강서구,1150011000,37.5913312008971,126.810864581737
공항동,강서구,1150010800,37.5588726032731,126.810109136838
과해동,강서구,1150011100,37.5656027325695,126.787712416395
내발산동,강서구,1150010600,37.5543737621716,126.83326640676
등촌동,강서구,1150010200,37.5622374761139,126.843670821456
마곡동,강서구,1150010500,37.5747859514343,126.830205192607
방화동,강서구,1150010900,37.5713090735148,126.811820803059
염창동,강서구,1150010100,37.553736243135,126.870985348962
오곡동,강서구,1150011200,37.5515676820461,126.783116898869
오쇠동,강서구,1150011300,37.5434597373435,126.797918436909
외발산동,강서구,1150010700,37.5438427469628,126.82085631674
화곡동,강서구,1150010300,37.5362848031693,126.848952280488
남현동,관악구,1162010300,37.4745631666845,126.977909779402
봉천동,관악구,1162010100,37.4825384917268,126.952165181187
신림동,관악구,1162010200,37.4894520674165,126.926185482384
광장동,광진구,1121510400,37.5468565308903,127.103025712709
구의동,광진구,1121510300,37.5502741239801,127.093135225891
